Type of Soil,Date,15-Mar,16-Mar,17-Mar,18-Mar,19-Mar,20-Mar,21-Mar,22-Mar,23-Mar,24-Mar,25-Mar,26-Mar,27-Mar,28-Mar,29-Mar,30-Mar,31-Mar,1-Apr,2-Apr,3-Apr,4-Apr,5-Apr,6-Apr,7-Apr,8-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr
Loam Soil,,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,2.4,2.7,1.6,2.3,2,2,1.9,1.9,1.9,1.6,2.4,2.6,2.3,2.7,2.4,2.7,2.3,1.1,1.9,1.6,0.4,0.4
Loam Soil,,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,2.3,1.9,2.3,1.8,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.1,2.5,2,1.9,2,1.4,1.7,1.1,0.7,0.7
Loam Soil,,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,2.7,2.1,1.8,2.1,2.8,2.8,2.1,2.1,2.1,1.8,2.7,2,2.6,2.2,2.7,2.1,2.7,1,1.5,1.4,0.3,0.3
Loam Soil,,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.9,1.6,2.1,1.5,1.9,1.9,2.8,2.8,2.8,2.1,1.9,2.7,2.4,2.8,2.5,1.6,2.4,1.5,1.8,1.7,0.6,0.6
Loam Soil,,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,2.1,2.4,1.5,2.4,2.1,2.1,2.4,2.4,2.4,1.5,2.1,2.5,2,2.3,2.2,2.4,2.1,1.2,1.6,1.2,0.5,0.5
Loam Soil,,2.136363636,2.136363636,2.136363636,2.136363636,2.136363636,2.136363636,2.136363636,2.136363636,2.136363636,2.136363636,2.5,2.6,2.7,2.7,2.5,2.5,2,2,2,2.7,2.5,2.2,2.4,2.1,2.8,2.6,2.8,1.3,1.4,1.5,0.6,0.6
Loam Soil,,1.822727273,1.822727273,1.822727273,1.822727273,1.822727273,1.822727273,1.822727273,1.822727273,1.822727273,1.822727273,1.7,1.7,1.7,1.7,1.6,1.6,2.7,2.7,2.7,1.7,1.7,2.8,2,2.6,2.3,1.7,2.5,1.1,1.7,1.3,0.3,0.3
Loam Soil,,2.031818182,2.031818182,2.031818182,2.031818182,2.031818182,2.031818182,2.031818182,2.031818182,2.031818182,2.031818182,2.2,2,2,2,2.9,2.9,2.5,2.5,2.5,2,2.2,2.3,2.7,2.4,2.1,2,2.2,1.4,1.5,1.6,0.4,0.4
Loam Soil,,1.795454545,1.795454545,1.795454545,1.795454545,1.795454545,1.795454545,1.795454545,1.795454545,1.795454545,1.795454545,1.5,1.3,2.6,2.6,1.7,1.7,2.2,2.2,2.2,2.6,1.5,2.1,2.5,2,2.6,1.3,2.6,1,1.8,1.1,0.2,0.2
Loam Soil,,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,1.818181818,2,2.5,1.4,1.4,2.2,2.2,1.8,1.8,1.8,1.4,2,2.6,2.2,2.7,2.4,2.5,2.3,1.2,1.6,1.4,0.3,0.3
Loam Soil,,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,1.6,1.4,2.8,2.8,2.6,2.6,2.9,2.9,2.9,2.8,1.6,2.4,2.8,2.5,2,1.4,2,1.3,1.4,1.7,0.6,0.6
Loam Soil,,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,2.4,2.8,2.2,2.2,1.8,1.8,2.3,2.3,2.3,2.2,2.4,2,2.3,2.2,2.2,2.8,2.7,1.1,1.7,1.2,0.5,0.5
Loam Soil,,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.4,2.2,1.9,1.9,2.3,2.3,2.1,2.1,2.1,1.9,1.4,2.7,2.1,2.8,2.6,2.2,2.4,1.4,1.5,1.5,0.4,0.4
Loam Soil,,2.109090909,2.109090909,2.109090909,2.109090909,2.109090909,2.109090909,2.109090909,2.109090909,2.109090909,2.109090909,2.8,1.8,2.5,2.5,2.7,2.7,2.6,2.6,2.6,2.5,2.8,2.5,2.6,2.3,2.3,1.8,2.1,1,1.8,1.3,0.3,0.3
Loam Soil,,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.3,2.3,1.6,1.6,2.7,2.7,2.4,2.4,2.4,1.6,1.3,2.2,2.4,2.1,2,2.3,2.8,1.5,1.6,1.6,0.6,0.6
Loam Soil,,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,1.904545455,2.6,1.5,2.3,2.3,1.8,1.8,2,2,2,2.3,2.6,2.8,2,2.6,2.7,1.5,2.5,1.2,1.3,1.1,0.5,0.5
Loam Soil,,2.040909091,2.040909091,2.040909091,2.040909091,2.040909091,2.040909091,2.040909091,2.040909091,2.040909091,2.040909091,2,2.7,1.8,1.8,2.4,2.4,2.7,2.7,2.7,1.8,2,2.3,2.7,2.4,2.4,2.7,2.2,1.3,1.7,1.4,0.4,0.4
Loam Soil,,1.872727273,1.872727273,1.872727273,1.872727273,1.872727273,1.872727273,1.872727273,1.872727273,1.872727273,1.872727273,1.6,1.9,2.1,2.1,2.1,2.1,2.5,2.5,2.5,2.1,1.6,2.1,2.5,2,2.1,1.9,2.6,1.1,1.5,1.7,0.3,0.3
Loam Soil,,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,1.995454545,2.4,2.1,1.5,1.5,2.8,2.8,2.2,2.2,2.2,1.5,2.4,2.6,2.2,2.7,2.8,2.1,2.3,1.4,1.8,1.2,0.6,0.6
Loam Soil,,2.013636364,2.013636364,2.013636364,2.013636364,2.013636364,2.013636364,2.013636364,2.013636364,2.013636364,2.013636364,2.6,1.6,2.4,2.4,1.6,1.6,2.8,2.8,2.8,2.4,2.6,2.4,2.8,2.5,2.5,1.6,2,1.1,1.6,1.2,0.5,0.5
Loam Soil,,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.95,1.4,2.2,2.7,2.7,2.2,2.2,2.3,2.3,2.3,2.7,1.4,2,2.3,2.2,2.2,2.2,2.7,1.2,1.4,1.5,0.4,0.4
Loam Soil,,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,2.8,1.9,1.7,1.7,1.9,1.9,2.1,2.1,2.1,1.7,2.8,2.5,2.1,2.8,2.6,1.9,2.4,1.3,1.7,1,0.3,0.3
Loam Soil,,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,2.072727273,2.2,2.5,2,2,2.5,2.5,2.9,2.9,2.9,2,2.2,2.2,2.6,2.3,2.3,2.5,2.1,1,1.5,1.3,0.6,0.6
Loam Soil,,2.009090909,2.009090909,2.009090909,2.009090909,2.009090909,2.009090909,2.009090909,2.009090909,2.009090909,2.009090909,1.7,1.6,2.6,2.6,2.3,2.3,2.6,2.6,2.6,2.6,1.7,2.8,2.4,2.1,2,1.6,2.8,1.4,1.8,1.1,0.5,0.5
Loam Soil,,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,2,2.4,1.4,1.4,2,2,2.4,2.4,2.4,1.4,2,2.3,2,2.6,2.7,2.4,2.5,1.5,1.6,1.4,0.4,0.4
Loam Soil,,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.5,2.7,2.8,2.8,2.6,2.6,2,2,2,2.8,1.5,2.1,2.7,2.4,2.4,2.7,2.2,1.2,1.3,0.9,0.3,0.3
Loam Soil,,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,2.4,1.8,2.2,2.2,1.7,1.7,2.7,2.7,2.7,2.2,2.4,2.6,2.5,2,2.1,1.8,2.6,1.3,1.7,1.2,0.6,0.6
Loam Soil,,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.3,2.1,1.9,1.9,2.9,2.9,2.5,2.5,2.5,1.9,2.3,2.4,2.2,2.5,2.8,2.1,2.3,1.1,1.5,1.5,0.5,0.5
Loam Soil,,1.927272727,1.927272727,1.927272727,1.927272727,1.927272727,1.927272727,1.927272727,1.927272727,1.927272727,1.927272727,2.7,1.5,2.5,2.7,1.8,1.8,2.2,2.2,2.2,2.5,2.7,2,2.8,2.2,2.5,1.5,2,1,1.8,1,0.4,0.4
Loam Soil,,2.004545455,2.004545455,2.004545455,2.004545455,2.004545455,2.004545455,2.004545455,2.004545455,2.004545455,2.004545455,1.9,2.3,1.6,1.7,2.4,2.4,2.8,2.8,2.8,1.6,1.9,2.7,2.3,2.8,2.2,2.3,2.7,1.4,1.6,1.3,0.3,0.3
Loam Soil,,1.954545455,1.954545455,1.954545455,1.954545455,1.954545455,1.954545455,1.954545455,1.954545455,1.954545455,1.954545455,2.1,2,2.3,2,2.1,2.1,2.3,2.3,2.3,2.3,2.1,2.5,2.1,2.3,2.6,2,2.4,1.5,1.4,1.1,0.6,0.6
Loam Soil,,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,1.959090909,2.5,1.7,1.8,2.6,2.8,2.8,2.1,2.1,2.1,1.8,2.5,2.2,2.6,2.1,2.3,1.7,2.1,1.2,1.7,1.4,0.5,0.5
Loam Soil,,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.7,2.6,2.1,1.4,1.6,1.6,2.6,2.6,2.6,2.1,1.7,2.8,2.4,2.6,2,2.6,2.3,1.3,1.5,0.9,0.4,0.4
Loam Soil,,1.881818182,1.881818182,1.881818182,1.881818182,1.881818182,1.881818182,1.881818182,1.881818182,1.881818182,1.881818182,2.2,1.4,1.5,2.8,2.2,2.2,2.4,2.4,2.4,1.5,2.2,2.3,2,2.4,2.7,1.4,2.7,1.1,1.8,1.2,0.3,0.3
Loam Soil,,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.909090909,1.5,2.8,2.4,2.2,1.9,1.9,2,2,2,2.4,1.5,2.1,2.7,2,2.4,2.8,2.1,1,1.6,1.5,0.6,0.6
Loam Soil,,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,2,1.3,2.7,1.9,2.5,2.5,2.7,2.7,2.7,2.7,2,2.6,2.5,2.7,2.1,1.3,2.4,1.4,1.8,1,0.5,0.5
Loam Soil,,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.990909091,1.6,2.5,1.7,2.5,2.3,2.3,2.5,2.5,2.5,1.7,1.6,2.4,2.2,2.5,2.8,2.5,2.6,1.5,1.5,1.3,0.4,0.4
Loam Soil,,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,1.890909091,2.4,1.9,2,1.6,2,2,2.4,2.4,2.4,2,2.4,2,2.8,2.2,2.5,1.9,2.2,1.2,1.6,1.1,0.3,0.3
Loam Soil,,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,2.022727273,1.4,2.2,2.6,2.3,2.6,2.6,2.1,2.1,2.1,2.6,1.4,2.7,2.3,2.8,2.2,2.2,2.5,1.3,1.9,1.4,0.6,0.6
Loam Soil,,1.977272727,1.977272727,1.977272727,1.977272727,1.977272727,1.977272727,1.977272727,1.977272727,1.977272727,1.977272727,2.8,1.6,1.4,1.8,2.9,2.9,2.7,2.7,2.7,1.4,2.8,2.5,2.1,2.3,2.6,1.6,2,1.1,1.7,0.9,0.5,0.5
Loam Soil,,1.940909091,1.940909091,1.940909091,1.940909091,1.940909091,1.940909091,1.940909091,1.940909091,1.940909091,1.940909091,1.3,2.4,2.8,2.1,1.8,1.8,2.5,2.5,2.5,2.8,1.3,2.2,2.6,2.1,2.3,2.4,2.8,1,1.5,1.2,0.4,0.4
Loam Soil,,2.059090909,2.059090909,2.059090909,2.059090909,2.059090909,2.059090909,2.059090909,2.059090909,2.059090909,2.059090909,2.6,2.7,2.2,1.5,2.4,2.4,2.2,2.2,2.2,2.2,2.6,2.8,2.4,2.6,2,2.7,2.3,1.4,1.8,1.5,0.3,0.3
Loam Soil,,1.981818182,1.981818182,1.981818182,1.981818182,1.981818182,1.981818182,1.981818182,1.981818182,1.981818182,1.981818182,1.8,1.8,1.9,2.4,2.1,2.1,2.8,2.8,2.8,1.9,1.8,2.3,2,2.4,2.7,1.8,2.7,1.5,1.6,1,0.7,0.7
Loam Soil,,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,2.3,2.1,1.6,2.7,2.8,2.8,2.3,2.3,2.3,1.6,2.3,2.1,2.5,2,2.4,2.1,2.1,1.2,1.4,1.3,0.6,0.6
Loam Soil,,1.859090909,1.859090909,1.859090909,1.859090909,1.859090909,1.859090909,1.859090909,1.859090909,1.859090909,1.859090909,2.5,1.5,2.3,1.7,1.6,1.6,2.1,2.1,2.1,2.3,2.5,2.6,2.2,2.7,2.1,1.5,2.4,1.3,1.7,1.1,0.5,0.5
Loam Soil,,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,1.986363636,1.7,2.3,1.8,2,2.2,2.2,2.6,2.6,2.6,1.8,1.7,2.4,2.8,2.5,2.8,2.3,2.6,1.1,1.5,1.4,0.4,0.4
Organix Soil,,1.922727273,1.922727273,1.922727273,1.922727273,1.922727273,1.922727273,1.922727273,1.922727273,1.922727273,1.922727273,1.9,2.6,2.1,2.6,1.9,1.9,2.4,2.4,2.4,2.1,1.9,2,2.3,2.2,2.5,2.6,2.2,1,1.8,0.9,0.3,0.3
Organix Soil,,1.831818182,1.831818182,1.831818182,1.831818182,1.831818182,1.831818182,1.831818182,1.831818182,1.831818182,1.831818182,1.9,1.7,1.5,1.4,2.5,2.5,2,2,2,1.5,1.9,2.7,2.1,2.8,2.2,1.7,2.5,1.4,1.6,1.2,0.6,0.6
Organix Soil,,2.113636364,2.113636364,2.113636364,2.113636364,2.113636364,2.113636364,2.113636364,2.113636364,2.113636364,2.113636364,2.6,2,2.4,2.8,2.3,2.3,2.7,2.7,2.7,2.4,2.6,2.5,2.6,2.3,2.2,2,2,1.5,1.4,1.5,0.5,0.5
Organix Soil,,1.895454545,1.895454545,1.895454545,1.895454545,1.895454545,1.895454545,1.895454545,1.895454545,1.895454545,1.895454545,1.5,1.4,2.7,2.2,2,2,2.5,2.5,2.5,2.7,1.5,2.2,2.4,2.1,2.6,1.4,2.8,1.2,1.7,1,0.4,0.4
Organix Soil,,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,1.972727273,2,2.8,1.7,1.9,2.6,2.6,2.2,2.2,2.2,1.7,2,2.8,2,2.6,2.3,2.8,2.3,1.3,1.5,1.3,0.3,0.3
